Дата турнира: 2026-04-17T04:37:44.038Z
Оружия: 31

Трезубец Лояльности vs Огниво -> loyaltyTrident | HP 41:0 | Пики P:1 Z:13
Трезубец Лояльности vs Пузырёк опыта -> loyaltyTrident | HP 51:0 | Пики P:2 Z:0
Трезубец Лояльности vs Тотем -> loyaltyTrident | HP 56:0 | Пики P:1 Z:1
Трезубец Лояльности vs Вагонетка с воронкой -> hopperMinecart | HP 0:64 | Пики P:1 Z:0
Трезубец Лояльности vs ТНТ -> loyaltyTrident | HP 32:0 | Пики P:1 Z:0
Трезубец Лояльности vs Слизневый поршень -> loyaltyTrident | HP 40:0 | Пики P:2 Z:1
Трезубец Лояльности vs Наблюдатель -> observer | HP 0:91 | Пики P:1 Z:1
Трезубец Лояльности vs Улей -> beehive | HP 0:54 | Пики P:1 Z:5
Трезубец Лояльности vs Нотный блок -> noteBlock | HP 0:91 | Пики P:1 Z:0
Трезубец Лояльности vs Шалкеровый ящик -> shulkerBox | HP 0:18 | Пики P:2 Z:0
Трезубец Лояльности vs Якорь возрождения -> loyaltyTrident | HP 4:0 | Пики P:1 Z:11
Трезубец Лояльности vs Жемчуг Края -> enderPearl | HP 0:46 | Пики P:2 Z:1
Трезубец Лояльности vs Плачущий обсидиан -> cryingObsidian | HP 0:70 | Пики P:4 Z:0
Трезубец Лояльности vs Огненный стержень -> blazeRod | HP 0:91 | Пики P:1 Z:0
Трезубец Лояльности vs Гнилая плоть -> ничья | HP 0:0 | Пики P:0 Z:0 | Ошибки:1
  БАГ: АВАРИЯ: game.spawnMinion is not a function
Трезубец Лояльности vs Светильник Джека -> loyaltyTrident | HP 84:0 | Пики P:1 Z:0
Трезубец Лояльности vs Костная мука -> loyaltyTrident | HP 100:0 | Пики P:1 Z:0
Трезубец Лояльности vs Книга с пером -> loyaltyTrident | HP 12:0 | Пики P:1 Z:2
Трезубец Лояльности vs Элитры -> loyaltyTrident | HP 28:0 | Пики P:1 Z:0
Трезубец Лояльности vs Золотое яблоко -> goldenApple | HP 0:53 | Пики P:1 Z:0
Трезубец Лояльности vs Невидимость -> invisPotion | HP 0:13 | Пики P:1 Z:0
Трезубец Лояльности vs Зелье гравитации -> loyaltyTrident | HP 51:0 | Пики P:1 Z:2
Трезубец Лояльности vs Черепашье зелье -> turtlePotion | HP 0:61 | Пики P:1 Z:0
Ведро воды vs Рельсы -> waterBucket | HP 97:0 | Пики P:0 Z:2
Ведро воды vs Лодка -> boat | HP 0:5 | Пики P:1 Z:4
Ведро воды vs Без оружия -> waterBucket | HP 100:0 | Пики P:0 Z:2
Ведро воды vs Удочка -> waterBucket | HP 54:0 | Пики P:1 Z:2
Ведро воды vs Трезубец Лояльности -> waterBucket | HP 55:0 | Пики P:1 Z:2
Ведро воды vs Ведро лавы -> waterBucket | HP 48:0 | Пики P:0 Z:3
Ведро воды vs Снежки -> waterBucket | HP 31:0 | Пики P:3 Z:5
Ведро воды vs Огниво -> waterBucket | HP 78:0 | Пики P:0 Z:15
Ведро воды vs Пузырёк опыта -> expBottle | HP 0:26 | Пики P:1 Z:2
Ведро воды vs Тотем -> waterBucket | HP 74:0 | Пики P:0 Z:3
Ведро воды vs Вагонетка с воронкой -> hopperMinecart | HP 0:13 | Пики P:0 Z:2
Ведро воды vs ТНТ -> waterBucket | HP 66:0 | Пики P:0 Z:2
Ведро воды vs Слизневый поршень -> waterBucket | HP 37:0 | Пики P:0 Z:3
Ведро воды vs Наблюдатель -> observer | HP 0:17 | Пики P:0 Z:3
Ведро воды vs Улей -> beehive | HP 0:44 | Пики P:0 Z:9
Ведро воды vs Нотный блок -> noteBlock | HP 0:87 | Пики P:0 Z:2
Ведро воды vs Шалкеровый ящик -> waterBucket | HP 100:0 | Пики P:0 Z:2
Ведро воды vs Якорь возрождения -> respawnAnchor | HP 0:26 | Пики P:0 Z:10
Ведро воды vs Жемчуг Края -> waterBucket | HP 36:0 | Пики P:1 Z:3
Ведро воды vs Плачущий обсидиан -> waterBucket | HP 59:0 | Пики P:3 Z:2
Ведро воды vs Огненный стержень -> blazeRod | HP 0:33 | Пики P:0 Z:2
Ведро воды vs Гнилая плоть -> ничья | HP 0:0 | Пики P:0 Z:1 | Ошибки:1
  БАГ: АВАРИЯ: game.spawnMinion is not a function
Ведро воды vs Светильник Джека -> waterBucket | HP 77:0 | Пики P:0 Z:2
Ведро воды vs Костная мука -> waterBucket | HP 100:0 | Пики P:0 Z:2
Ведро воды vs Книга с пером -> waterBucket | HP 56:0 | Пики P:0 Z:4
Ведро воды vs Элитры -> waterBucket | HP 25:0 | Пики P:0 Z:2
Ведро воды vs Золотое яблоко -> goldenApple | HP 0:53 | Пики P:0 Z:2
Ведро воды vs Невидимость -> waterBucket | HP 55:0 | Пики P:0 Z:2
Ведро воды vs Зелье гравитации -> waterBucket | HP 24:0 | Пики P:0 Z:4
Ведро воды vs Черепашье зелье -> turtlePotion | HP 0:100 | Пики P:0 Z:2
Ведро лавы vs Рельсы -> rail | HP 0:3 | Пики P:0 Z:1
Ведро лавы vs Лодка -> boat | HP 0:77 | Пики P:1 Z:3
Ведро лавы vs Без оружия -> lavaBucket | HP 100:0 | Пики P:0 Z:1
Ведро лавы vs Удочка -> lavaBucket | HP 42:0 | Пики P:1 Z:1
Ведро лавы vs Трезубец Лояльности -> loyaltyTrident | HP 0:18 | Пики P:1 Z:1
Ведро лавы vs Ведро воды -> waterBucket | HP 0:2 | Пики P:0 Z:3
Ведро лавы vs Снежки -> snowball | HP 0:26 | Пики P:3 Z:4
Ведро лавы vs Огниво -> lavaBucket | HP 68:0 | Пики P:0 Z:14
Ведро лавы vs Пузырёк опыта -> expBottle | HP 0:7 | Пики P:1 Z:1
Ведро лавы vs Тотем -> lavaBucket | HP 30:0 | Пики P:0 Z:2
Ведро лавы vs Вагонетка с воронкой -> hopperMinecart | HP 0:6 | Пики P:0 Z:1
Ведро лавы vs ТНТ -> lavaBucket | HP 8:0 | Пики P:0 Z:1
Ведро лавы vs Слизневый поршень -> slimePiston | HP 0:31 | Пики P:0 Z:2
Ведро лавы vs Наблюдатель -> observer | HP 0:66 | Пики P:0 Z:2
Ведро лавы vs Улей -> beehive | HP 0:68 | Пики P:0 Z:11
Ведро лавы vs Нотный блок -> noteBlock | HP 0:93 | Пики P:0 Z:1
Ведро лавы vs Шалкеровый ящик -> shulkerBox | HP 0:57 | Пики P:4 Z:1
Ведро лавы vs Якорь возрождения -> respawnAnchor | HP 0:58 | Пики P:0 Z:11
Ведро лавы vs Жемчуг Края -> enderPearl | HP 0:31 | Пики P:1 Z:2
Ведро лавы vs Плачущий обсидиан -> cryingObsidian | HP 0:4 | Пики P:3 Z:1
Ведро лавы vs Огненный стержень -> blazeRod | HP 0:76 | Пики P:0 Z:1
Ведро лавы vs Гнилая плоть -> ничья | HP 0:0 | Пики P:0 Z:1 | Ошибки:1
  БАГ: АВАРИЯ: game.spawnMinion is not a function
Ведро лавы vs Светильник Джека -> lavaBucket | HP 32:0 | Пики P:0 Z:1
Ведро лавы vs Костная мука -> lavaBucket | HP 100:0 | Пики P:0 Z:1
Ведро лавы vs Книга с пером -> lavaBucket | HP 17:0 | Пики P:0 Z:3
Ведро лавы vs Элитры -> lavaBucket | HP 71:0 | Пики P:0 Z:1
Ведро лавы vs Золотое яблоко -> goldenApple | HP 0:75 | Пики P:0 Z:1
Ведро лавы vs Невидимость -> lavaBucket | HP 65:0 | Пики P:0 Z:1
Ведро лавы vs Зелье гравитации -> lavaBucket | HP 10:0 | Пики P:0 Z:3
Ведро лавы vs Черепашье зелье -> turtlePotion | HP 0:100 | Пики P:0 Z:1
Снежки vs Рельсы -> snowball | HP 11:0 | Пики P:3 Z:3
Снежки vs Лодка -> snowball | HP 64:0 | Пики P:3 Z:3
Снежки vs Без оружия -> snowball | HP 100:0 | Пики P:3 Z:3
Снежки vs Удочка -> snowball | HP 55:0 | Пики P:4 Z:3
Снежки vs Трезубец Лояльности -> loyaltyTrident | HP 0:40 | Пики P:4 Z:2
Снежки vs Ведро воды -> waterBucket | HP 0:45 | Пики P:3 Z:5
Снежки vs Ведро лавы -> snowball | HP 16:0 | Пики P:3 Z:4
Снежки vs Огниво -> snowball | HP 18:0 | Пики P:3 Z:16
Снежки vs Пузырёк опыта -> expBottle | HP 0:67 | Пики P:3 Z:3
Снежки vs Тотем -> snowball | HP 8:0 | Пики P:3 Z:4
Снежки vs Вагонетка с воронкой -> hopperMinecart | HP 0:31 | Пики P:3 Z:2
Снежки vs ТНТ -> tnt | HP 0:42 | Пики P:3 Z:3
Снежки vs Слизневый поршень -> slimePiston | HP 0:68 | Пики P:3 Z:4
Снежки vs Наблюдатель -> observer | HP 0:2 | Пики P:3 Z:3
Снежки vs Улей -> beehive | HP 0:54 | Пики P:3 Z:6
Снежки vs Нотный блок -> noteBlock | HP 0:79 | Пики P:2 Z:0
Снежки vs Шалкеровый ящик -> shulkerBox | HP 0:71 | Пики P:4 Z:3
Снежки vs Якорь возрождения -> respawnAnchor | HP 0:59 | Пики P:3 Z:10
Снежки vs Жемчуг Края -> snowball | HP 100:0 | Пики P:4 Z:3
Снежки vs Плачущий обсидиан -> cryingObsidian | HP 0:43 | Пики P:6 Z:3
Снежки vs Огненный стержень -> blazeRod | HP 0:82 | Пики P:3 Z:2
Снежки vs Гнилая плоть -> ничья | HP 0:0 | Пики P:0 Z:0 | Ошибки:1
  БАГ: АВАРИЯ: game.spawnMinion is not a function
Снежки vs Светильник Джека -> jackOLantern | HP 0:11 | Пики P:3 Z:3
Снежки vs Костная мука -> snowball | HP 100:0 | Пики P:3 Z:2
Снежки vs Книга с пером -> snowball | HP 5:0 | Пики P:3 Z:4
Снежки vs Элитры -> snowball | HP 100:0 | Пики P:3 Z:2
Снежки vs Золотое яблоко -> goldenApple | HP 0:85 | Пики P:3 Z:3
Снежки vs Невидимость -> snowball | HP 14:0 | Пики P:3 Z:2
Снежки vs Зелье гравитации -> gravityPotion | HP 0:27 | Пики P:3 Z:5
Снежки vs Черепашье зелье -> turtlePotion | HP 0:100 | Пики P:3 Z:3
Огниво vs Рельсы -> flintSteel | HP 69:0 | Пики P:0 Z:13
Огниво vs Лодка -> boat | HP 0:7 | Пики P:1 Z:15
Огниво vs Без оружия -> flintSteel | HP 97:0 | Пики P:0 Z:13
Огниво vs Удочка -> flintSteel | HP 10:0 | Пики P:1 Z:13
Огниво vs Трезубец Лояльности -> loyaltyTrident | HP 0:14 | Пики P:1 Z:13
Огниво vs Ведро воды -> waterBucket | HP 0:70 | Пики P:0 Z:15
Огниво vs Ведро лавы -> flintSteel | HP 15:0 | Пики P:0 Z:14
Огниво vs Снежки -> flintSteel | HP 5:0 | Пики P:3 Z:16
Огниво vs Пузырёк опыта -> expBottle | HP 0:59 | Пики P:1 Z:13
Огниво vs Тотем -> flintSteel | HP 36:0 | Пики P:0 Z:14
Огниво vs Вагонетка с воронкой -> hopperMinecart | HP 0:66 | Пики P:0 Z:13
Огниво vs ТНТ -> tnt | HP 0:40 | Пики P:0 Z:13
Огниво vs Слизневый поршень -> slimePiston | HP 0:32 | Пики P:0 Z:14
Огниво vs Наблюдатель -> observer | HP 0:94 | Пики P:0 Z:14
Огниво vs Улей -> beehive | HP 0:30 | Пики P:0 Z:22
Огниво vs Нотный блок -> noteBlock | HP 0:77 | Пики P:0 Z:13
Огниво vs Шалкеровый ящик -> shulkerBox | HP 0:74 | Пики P:4 Z:13
Огниво vs Якорь возрождения -> respawnAnchor | HP 0:71 | Пики P:0 Z:21
Огниво vs Жемчуг Края -> flintSteel | HP 52:0 | Пики P:1 Z:14
Огниво vs Плачущий обсидиан -> cryingObsidian | HP 0:78 | Пики P:3 Z:13
Огниво vs Огненный стержень -> blazeRod | HP 0:79 | Пики P:0 Z:13
Огниво vs Гнилая плоть -> ничья | HP 0:0 | Пики P:0 Z:13 | Ошибки:1
  БАГ: АВАРИЯ: game.spawnMinion is not a function
Огниво vs Светильник Джека -> jackOLantern | HP 0:25 | Пики P:0 Z:13
Огниво vs Костная мука -> flintSteel | HP 100:0 | Пики P:0 Z:13
Огниво vs Книга с пером -> flintSteel | HP 36:0 | Пики P:0 Z:15
Огниво vs Элитры -> elytra | HP 0:24 | Пики P:0 Z:13
Огниво vs Золотое яблоко -> goldenApple | HP 0:79 | Пики P:0 Z:13
Огниво vs Невидимость -> flintSteel | HP 49:0 | Пики P:0 Z:13
Огниво vs Зелье гравитации -> gravityPotion | HP 0:27 | Пики P:0 Z:15
Огниво vs Черепашье зелье -> turtlePotion | HP 0:100 | Пики P:0 Z:13
Пузырёк опыта vs Рельсы -> expBottle | HP 79:0 | Пики P:1 Z:0
Пузырёк опыта vs Лодка -> expBottle | HP 6:0 | Пики P:2 Z:1
Пузырёк опыта vs Без оружия -> expBottle | HP 100:0 | Пики P:1 Z:0
Пузырёк опыта vs Удочка -> expBottle | HP 50:0 | Пики P:2 Z:0
Пузырёк опыта vs Трезубец Лояльности -> expBottle | HP 58:0 | Пики P:2 Z:0
Пузырёк опыта vs Ведро воды -> waterBucket | HP 0:29 | Пики P:1 Z:2
Пузырёк опыта vs Ведро лавы -> lavaBucket | HP 0:4 | Пики P:1 Z:1
Пузырёк опыта vs Снежки -> expBottle | HP 57:0 | Пики P:4 Z:2
Пузырёк опыта vs Огниво -> expBottle | HP 67:0 | Пики P:1 Z:13
Пузырёк опыта vs Тотем -> expBottle | HP 14:0 | Пики P:1 Z:1
Пузырёк опыта vs Вагонетка с воронкой -> hopperMinecart | HP 0:68 | Пики P:1 Z:0
Пузырёк опыта vs ТНТ -> expBottle | HP 52:0 | Пики P:1 Z:0
Пузырёк опыта vs Слизневый поршень -> expBottle | HP 44:0 | Пики P:2 Z:1
Пузырёк опыта vs Наблюдатель -> expBottle | HP 26:0 | Пики P:1 Z:1
Пузырёк опыта vs Улей -> beehive | HP 0:11 | Пики P:1 Z:17
Пузырёк опыта vs Нотный блок -> noteBlock | HP 0:87 | Пики P:1 Z:0
Пузырёк опыта vs Шалкеровый ящик -> shulkerBox | HP 0:39 | Пики P:4 Z:0
Пузырёк опыта vs Якорь возрождения -> respawnAnchor | HP 0:6 | Пики P:1 Z:13
Пузырёк опыта vs Жемчуг Края -> enderPearl | HP 0:22 | Пики P:2 Z:1
Пузырёк опыта vs Плачущий обсидиан -> expBottle | HP 56:0 | Пики P:4 Z:0
Пузырёк опыта vs Огненный стержень -> blazeRod | HP 0:63 | Пики P:1 Z:0
Пузырёк опыта vs Гнилая плоть -> ничья | HP 0:0 | Пики P:0 Z:0 | Ошибки:1
  БАГ: АВАРИЯ: game.spawnMinion is not a function
Пузырёк опыта vs Светильник Джека -> expBottle | HP 17:0 | Пики P:1 Z:0
Пузырёк опыта vs Костная мука -> expBottle | HP 100:0 | Пики P:1 Z:0
Пузырёк опыта vs Книга с пером -> expBottle | HP 36:0 | Пики P:1 Z:2
Пузырёк опыта vs Элитры -> expBottle | HP 79:0 | Пики P:1 Z:0
Пузырёк опыта vs Золотое яблоко -> goldenApple | HP 0:78 | Пики P:1 Z:0
Пузырёк опыта vs Невидимость -> expBottle | HP 25:0 | Пики P:1 Z:0
Пузырёк опыта vs Зелье гравитации -> gravityPotion | HP 0:45 | Пики P:1 Z:2
Пузырёк опыта vs Черепашье зелье -> turtlePotion | HP 0:100 | Пики P:1 Z:0
Тотем vs Рельсы -> totem | HP 14:0 | Пики P:0 Z:1
Тотем vs Лодка -> totem | HP 0:0 | Пики P:1 Z:2
Тотем vs Без оружия -> totem | HP 28:0 | Пики P:0 Z:1
Тотем vs Удочка -> totem | HP 1:0 | Пики P:1 Z:1
Тотем vs Трезубец Лояльности -> ничья | HP 0:0 | Пики P:1 Z:1
Тотем vs Ведро воды -> waterBucket | HP 0:68 | Пики P:0 Z:3
Тотем vs Ведро лавы -> lavaBucket | HP 0:68 | Пики P:0 Z:2
Тотем vs Снежки -> ничья | HP 0:0 | Пики P:3 Z:4
Тотем vs Огниво -> flintSteel | HP 0:3 | Пики P:0 Z:14
Тотем vs Пузырёк опыта -> expBottle | HP 0:65 | Пики P:1 Z:1
Тотем vs Вагонетка с воронкой -> hopperMinecart | HP 0:70 | Пики P:0 Z:1
Тотем vs ТНТ -> totem | HP 31:0 | Пики P:0 Z:1
Тотем vs Слизневый поршень -> totem | HP 14:0 | Пики P:0 Z:2
Тотем vs Наблюдатель -> observer | HP 0:36 | Пики P:0 Z:2
Тотем vs Улей -> beehive | HP 0:51 | Пики P:0 Z:9
Тотем vs Нотный блок -> noteBlock | HP 0:69 | Пики P:0 Z:1
Тотем vs Шалкеровый ящик -> totem | HP 33:0 | Пики P:0 Z:1
Тотем vs Якорь возрождения -> respawnAnchor | HP 0:65 | Пики P:0 Z:11
Тотем vs Жемчуг Края -> enderPearl | HP 0:31 | Пики P:1 Z:2
Тотем vs Плачущий обсидиан -> cryingObsidian | HP 0:60 | Пики P:3 Z:1
Тотем vs Огненный стержень -> blazeRod | HP 0:38 | Пики P:0 Z:1
Тотем vs Гнилая плоть -> ничья | HP 0:0 | Пики P:0 Z:1 | Ошибки:1
